"zip_code","estado","ciudad","latitud","longitud"
1001,"SP","sao paulo",-23.550189776551765,-46.634023555904214
1002,"SP","sao paulo",-23.54814573176355,-46.63497921074498
1003,"SP","sao paulo",-23.548993724813155,-46.63573130997587
1004,"SP","sao paulo",-23.549798842277003,-46.63475694378971
1005,"SP","sao paulo",-23.549456199830747,-46.63673294803691
1006,"SP","sao paulo",-23.550101811452866,-46.636136735174176
1007,"SP","sao paulo",-23.550046202351673,-46.63725145963765
1008,"SP","sao paulo",-23.546001749383464,-46.63588592135779
1009,"SP","sao paulo",-23.546835208320854,-46.636490695312204
1010,"SP","sao paulo",-23.546389438369268,-46.635226081509046
1011,"SP","sao paulo",-23.54690864025111,-46.63558202636042
1012,"SP","são paulo",-23.547789733146864,-46.63485900505736
1013,"SP","sao paulo",-23.547142028323904,-46.63423580006205
1014,"SP","sao paulo",-23.545912805690424,-46.633615371244936
1015,"SP","sao paulo",-23.547665749383476,-46.631558570722675
1016,"SP","sao paulo",-23.548976407029944,-46.63235192955855
1017,"SP","são paulo",-23.549531271947856,-46.63102384555222
1018,"SP","sao paulo",-23.55092851790901,-46.63243146837754
1019,"SP","sao paulo",-23.551774137807588,-46.63089338270139
1020,"SP","são paulo",-23.552335651551417,-46.63004970984574
1021,"SP","sao paulo",-23.543000459064807,-46.63214323386248
1022,"SP","sao paulo",-23.544921826153427,-46.631931335611945
1023,"SP","sao paulo",-23.542330784361457,-46.63137340438762
1024,"SP","são paulo",-23.54140143278026,-46.62990400057277
1025,"SP","sao paulo",-23.540291945676334,-46.630928059419446
1026,"SP","são paulo",-23.539657127270956,-46.63188421270581
1027,"SP","sao paulo",-23.538082328385336,-46.630668675067795
1028,"SP","sao paulo",-23.535932541180536,-46.63355514575825
1029,"SP","sao paulo",-23.541373048980535,-46.633415988443026
1030,"SP","são paulo",-23.539549291753428,-46.63302325151353
1031,"SP","sao paulo",-23.541905853440447,-46.63508761691669
1032,"SP","sao paulo",-23.540124454559965,-46.635193543797676
1033,"SP","sao paulo",-23.5392714370778,-46.63587808421484
1034,"SP","sao paulo",-23.542515317419948,-46.637367448800894
1035,"SP","sao paulo",-23.541614488738958,-46.64154914252655
1036,"SP","sao paulo",-23.54164845233629,-46.641443277359315
1037,"SP","sao paulo",-23.545411016454086,-46.63892437204838
1038,"SP","sao paulo",-23.54390737962768,-46.63999380609391
1039,"SP","sao paulo",-23.54137085777194,-46.63916528885119
1040,"SP","sao paulo",-23.541028179008823,-46.638324694969405
1041,"SP","sao paulo",-23.54390458746036,-46.64004648644473
1042,"SP","sao paulo",-23.544852949531748,-46.640410456031695
1043,"SP","são paulo",-23.545765991186382,-46.641502464541404
1044,"SP","sao paulo",-23.545598238423416,-46.641452670153164
1045,"SP","sao paulo",-23.542345366178555,-46.64252697570119
1046,"SP","sao paulo",-23.545930039168788,-46.6439975177819
1047,"SP","sao paulo",-23.54618760708176,-46.64106743356166
1048,"SP","são paulo",-23.54711318884073,-46.63983987489639
1049,"SP","sao paulo",-23.547011236746002,-46.63916570493306
1050,"SP","sao paulo",-23.549229163580517,-46.64303023455155
1101,"SP","sao paulo",-23.528286860378213,-46.631957535031056
1102,"SP","são paulo",-23.525571406955734,-46.63028748439394
1103,"SP","são paulo",-23.53546844605214,-46.630290773383464
1104,"SP","sao paulo",-23.534952165368537,-46.62957039061348
1105,"SP","sao paulo",-23.53409398177586,-46.62907768017333
1106,"SP","sao paulo",-23.530220775137824,-46.6282212595308
1107,"SP","sao paulo",-23.526087892031367,-46.629589887186604
1108,"SP","sao paulo",-23.527232171325494,-46.630354418199865
1109,"SP","sao paulo",-23.524624899587646,-46.627103243360565
1120,"SP","sao paulo",-23.530162529753113,-46.6395114116631
1121,"SP","sao paulo",-23.52786665899882,-46.635256920492864
1122,"SP","são paulo",-23.531130596538613,-46.638324826141904
1123,"SP","sao paulo",-23.5291645437106,-46.63658239267475
1124,"SP","sao paulo",-23.528221233825743,-46.63309540109692
1125,"SP","sao paulo",-23.527288449571635,-46.64016432350875
1126,"SP","sao paulo",-23.527066549337565,-46.6391527868084
1127,"SP","sao paulo",-23.525480803366627,-46.64159548852642
1128,"SP","sao paulo",-23.523786738657147,-46.64220966455255
1129,"SP","sao paulo",-23.524051385464382,-46.645073040129965
1130,"SP","sao paulo",-23.524830820867123,-46.64492992157745
1131,"SP","sao paulo",-23.52237973767103,-46.64310784736644
1132,"SP","sao paulo",-23.521539879304328,-46.64873923331726
1133,"SP","sao paulo",-23.52042428170985,-46.65332230946677
1134,"SP","são paulo",-23.518899939878278,-46.65269033643668
1135,"SP","sao paulo",-23.526190426729194,-46.650970041202214
1136,"SP","são paulo",-23.523986920181724,-46.66135135045781
1137,"SP","são paulo",-23.522851480322114,-46.65280923153936
1138,"SP","sao paulo",-23.52245582393925,-46.65525390366422
1139,"SP","sao paulo",-23.520724956071753,-46.665938971441705
1140,"SP","sao paulo",-23.520438443709033,-46.6692371684404
1141,"SP","são paulo",-23.52031032590555,-46.66643901391753
1142,"SP","sao paulo",-23.519934305152635,-46.6251300217966
1144,"SP","sao paulo",-23.52357274929584,-46.67242459028444
1150,"SP","sao paulo",-23.532953023597276,-46.658245942661374
1151,"SP","sao paulo",-23.53164158468372,-46.65628875324909
1152,"SP","sao paulo",-23.529884845741275,-46.65527643333265
1153,"SP","são paulo",-23.529930846298743,-46.65354908690434
1154,"SP","sao paulo",-23.53053589724994,-46.65929570388057
1155,"SP","sao paulo",-23.529072884025155,-46.66331995168207
1156,"SP","são paulo",-23.52892113830292,-46.66643724514503
1189,"SP","sao paulo",-23.53210825506378,-46.63839470107914
1200,"SP","sao paulo",-23.531567773241413,-46.64986907784642
1201,"SP","sao paulo",-23.536082809674177,-46.6495393904693
1202,"SP","são paulo",-23.533742576459318,-46.64828045105448
1203,"SP","sao paulo",-23.535964656661317,-46.6452995563268
1204,"SP","sao paulo",-23.53599263946852,-46.644089822607214
1205,"SP","são paulo",-23.536490774893966,-46.642641966809634
1206,"SP","sao paulo",-23.535863685117462,-46.64281871336397
1207,"SP","sao paulo",-23.53917556013519,-46.63865415001012
1208,"SP","sao paulo",-23.538660495662256,-46.63898204602016
1209,"SP","sao paulo",-23.540695255566053,-46.641582935722816
1210,"SP","são paulo",-23.540039340558916,-46.64209131081345
1211,"SP","sao paulo",-23.53757657410565,-46.64883790118901
1212,"SP","são paulo",-23.538268511790665,-46.63942263256764
1213,"SP","sao paulo",-23.53650149461516,-46.64036116340707
1214,"SP","sao paulo",-23.53884249396187,-46.64523045306012
1215,"SP","são paulo",-23.53616739991495,-46.64754185786534
1216,"SP","sao paulo",-23.533127593964497,-46.64783380745067
1217,"SP","sao paulo",-23.532657557836473,-46.648883992986285
1218,"SP","são paulo",-23.53124979886405,-46.64832514105406
1219,"SP","sao paulo",-23.541288814286364,-46.64569860301067
1220,"SP","sao paulo",-23.54451401110975,-46.64603990221943
1221,"SP","sao paulo",-23.544867697472093,-46.64828171537102
1222,"SP","são paulo",-23.54594454397298,-46.64936937401518
1223,"SP","sao paulo",-23.54408811655857,-46.64858211715019
1224,"SP","sao paulo",-23.54177865147578,-46.652422339639514
1225,"SP","sao paulo",-23.539786021213725,-46.64913883151014
1226,"SP","são paulo",-23.538010108905674,-46.65271926812754
1227,"SP","sao paulo",-23.54620191296879,-46.658384582734
1228,"SP","sao paulo",-23.54518937928602,-46.657610856988505
1229,"SP","sao paulo",-23.53890160984344,-46.657291130376805
1230,"SP","sao paulo",-23.53631040591802,-46.65711200863415
1231,"SP","sao paulo",-23.53695040742613,-46.659255892784934
1232,"SP","sao paulo",-23.536428003530194,-46.657426011378035
1233,"SP","sao paulo",-23.53624654014997,-46.66166521796584
1234,"SP","sao paulo",-23.53968956225155,-46.66424403546397
1235,"SP","sao paulo",-23.53671427686228,-46.66466630391698
1236,"SP","sao paulo",-23.543550224431343,-46.66741941090643
1237,"SP","sao paulo",-23.543234451012324,-46.66872440228904
1238,"SP","sao paulo",-23.542571396851127,-46.65424333104065
1239,"SP","sao paulo",-23.54309527008478,-46.63105919621764
1240,"SP","sao paulo",-23.54379184344285,-46.65854396252987
1241,"SP","são paulo",-23.54552478660238,-46.657840193083345
1242,"SP","sao paulo",-23.546506947085877,-46.65850174642454
1243,"SP","sao paulo",-23.54812030499438,-46.65919184884557
1244,"SP","sao paulo",-23.56204912797664,-46.65959031403357
1245,"SP","são paulo",-23.549475523846695,-46.66382107418295
1246,"SP","sao paulo",-23.553481295249675,-46.666318477031005
1247,"SP","são paulo",-23.55063807285042,-46.66865580450114
1248,"SP","sao paulo",-23.54791252484105,-46.66802631332551
1249,"SP","sao paulo",-23.54841989244908,-46.67122044555848
1250,"SP","sao paulo",-23.547640483076,-46.67197263354334
1251,"SP","são paulo",-23.548374516404742,-46.67484647170288
1252,"SP","sao paulo",-23.54175397547087,-46.67893404000763
1253,"SP","sao paulo",-23.544929126352915,-46.679164692087
1254,"SP","são paulo",-23.54333742025504,-46.68085240293401
1255,"SP","sao paulo",-23.54636983531918,-46.68154172682528
1256,"SP","são paulo",-23.547773256174626,-46.682838349154586
1257,"SP","sao paulo",-23.54360983905433,-46.68783857511076
1258,"SP","sao paulo",-23.54403701732507,-46.686850912471385
1259,"SP","sao paulo",-23.541418553843286,-46.685303896769355
1262,"SP","sao paulo",-23.550856391462712,-46.67735184892536
1290,"SP","são paulo",-23.54096134139296,-46.657748702752585
1301,"SP","sao paulo",-23.549328970281234,-46.650890098687555
1302,"SP","sao paulo",-23.5490029212623,-46.649552278636094
1303,"SP","sao paulo",-23.54950569815466,-46.64843251428849
